Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1782767334,148603611,62,0,0,0,0.00,1.26
1782767335,148567012,43,0,0,0,0.00,1.25
1782767336,148564305,64,0,0,0,0.00,1.01
1782767337,148565231,47,0,0,0,0.00,1.75
1782767338,148606454,49,0,0,0,0.00,1.50
1782767339,148566726,48,0,0,0,0.00,0.76
1782767340,148565889,55,0,0,0,0.00,1.01
1782767341,148565768,69,0,0,0,0.00,0.51
1782767342,148527247,36,0,0,0,0.00,0.76
1782767343,148525118,29,1,1,0,0.00,1.25
1782767344,148570632,29,0,0,0,0.00,0.50
1782767345,148568736,39,0,0,0,0.00,1.26
1782767346,148605472,49,0,0,0,0.00,1.75
